state,dur,sbytes,sttl,sload,dload,swin,synack,ct_state_ttl,ct_srv_dst,ct_src_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat
FIN,0.8489,1124,62,10159.0293,496897.1563,255,0.006,1,1,1,1,1,Exploits
FIN,0.247985,846,254,24582.13086,28453.33398,255,0.005749,1,1,1,1,1,DoS
FIN,0.216466,6910,254,237155.0313,8278.436523,255,0.007678,1,1,1,1,1,Exploits
FIN,0.632062,564,254,6429.749023,3923.665527,255,0.007192,1,1,1,1,1,Reconnaissance
FIN,1.272334,1546,62,9437.773438,807473.5,255,0.007835,1,1,1,1,1,Exploits
FIN,0.268598,622,254,16679.20117,6671.680664,255,0.024013,1,2,1,1,1,Exploits
FIN,0.845473,3209,62,28992.05469,16871.0293,255,0.006333,1,1,1,1,1,Exploits
FIN,0.309507,4600,254,110420.7578,14397.08887,255,0.007747,1,2,1,1,1,Exploits
FIN,0.319114,1902,62,44297.64844,551527.0625,255,0.007012,1,1,1,1,1,Exploits
FIN,0.376695,1256,62,24465.41602,48633.50781,255,0.007624,1,1,1,1,1,Exploits
INT,7e-06,168,254,96000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.24091,798,62,23876.13672,59042.79688,255,0.006337,1,1,1,1,1,Exploits
FIN,0.224496,1464,62,46967.42969,30325.70703,255,0.013257,1,2,2,1,2,Exploits
INT,1e-05,352,254,140800000.0,0.0,0,0.0,2,1,1,1,1,Shellcode
FIN,0.365112,1094,62,22480.77344,1446043.875,255,0.018077,1,2,2,1,2,Exploits
FIN,0.284158,4516,254,118075.1563,10641.9668,255,0.007091,1,1,1,1,1,Exploits
FIN,0.622132,1024,62,12447.51953,185838.375,255,0.01477,1,1,2,1,1,Exploits
FIN,0.175743,1596,254,65413.69922,10196.70801,255,0.006016,1,1,2,1,1,DoS
INT,1.1e-05,256,254,93090912.0,0.0,0,0.0,2,1,1,1,1,Shellcode
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,2.802158,3090,62,8422.080078,110080.8672,255,0.007574,1,1,1,1,1,Exploits
FIN,0.632556,564,254,6424.727539,3920.601318,255,0.008288,1,1,1,1,1,Reconnaissance
FIN,1.405337,2200,62,12210.59473,1599394.375,255,0.006285,1,1,1,1,1,DoS
INT,4e-06,168,254,168000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.420918,1478,62,26095.3457,905905.6875,255,0.069248,1,1,2,1,1,Generic
FIN,3.161003,3636,62,8946.527344,413615.5313,255,0.026159,1,1,2,1,1,Exploits
FIN,4.373165,5932,62,10769.31641,1987891.125,255,0.046192,1,1,1,1,1,Exploits
FIN,0.633378,564,254,6416.38916,3915.513184,255,0.016741,1,2,1,1,1,Reconnaissance
FIN,0.631752,564,254,6432.903809,3925.591064,255,0.007038,1,2,1,1,1,Reconnaissance
FIN,2.395836,1428,254,4370.916504,4167.22998,255,0.005857,1,2,1,1,1,DoS
FIN,0.225714,1290,62,42460.8125,1357895.375,255,0.0067,1,1,1,1,1,Generic
FIN,0.94448,74556,62,622742.6875,18329.66211,255,0.006795,1,1,1,1,1,DoS
FIN,0.51296,1708,62,25436.67969,1784669.25,255,0.016525,1,2,1,1,1,Generic
FIN,0.233355,2554,254,78815.53906,14295.81543,255,0.007629,1,1,1,1,1,Exploits
FIN,0.644999,564,254,6300.784668,3844.967041,255,0.007241,1,1,1,1,1,Reconnaissance
FIN,0.187733,958,254,36775.63281,9545.47168,255,0.006708,1,1,1,1,1,Reconnaissance
FIN,0.230327,828,62,25910.98828,304853.5313,255,0.006463,1,1,1,1,1,Exploits
FIN,0.224308,758,62,24359.36328,256468.7813,255,0.006084,1,1,1,1,1,Exploits
FIN,0.361008,934,254,18636.70703,85006.42969,255,0.006998,1,1,1,1,1,Exploits
FIN,0.784385,1136,62,11106.79004,461395.8438,255,0.0131,1,1,3,1,3,Exploits
FIN,0.52094,364,62,4898.836426,11486.92773,255,0.047502,1,1,3,1,3,Exploits
FIN,0.52094,364,62,4898.836426,11486.92773,255,0.047502,1,1,3,1,3,Exploits
FIN,1.182451,1178,62,7611.309082,10567.87988,255,0.007079,1,1,3,1,3,Exploits
FIN,1.182451,1178,62,7611.309082,10567.87988,255,0.007079,1,1,3,1,3,Exploits
FIN,0.184237,804,62,31437.76758,273387.0,255,0.029523,1,1,1,1,1,Exploits
FIN,1.259073,308887,62,1954847.75,20434.08008,255,0.015825,1,1,1,1,1,Exploits
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
INT,1.1e-05,168,254,61090908.0,0.0,0,0.0,2,1,9,1,1,Reconnaissance
FIN,2.447321,1462,254,4439.139648,732.229248,255,0.016623,1,1,1,1,1,Exploits
FIN,0.252831,1178,62,34173.02344,92678.50781,255,0.016195,1,1,1,1,1,Exploits
FIN,0.19871,886,62,32127.2207,181329.5781,255,0.014586,1,1,1,1,1,Exploits
FIN,0.62375,564,254,6515.431152,3975.952148,255,0.00605,1,1,1,1,1,Reconnaissance
FIN,0.475653,826,62,12513.32422,33133.39844,255,0.047272,1,1,2,1,1,DoS
FIN,1.063009,72580,62,538637.0,14780.68359,255,0.00668,1,1,2,1,1,Exploits
FIN,1.023026,94052,62,727129.125,15937.03418,255,0.005807,1,1,1,1,1,Exploits
FIN,1.023026,94052,62,727129.125,15937.03418,255,0.005807,1,1,1,1,1,Exploits
FIN,0.772374,956,62,9415.12793,31766.99414,255,0.007037,1,1,1,1,1,Exploits
FIN,0.772374,956,62,9415.12793,31766.99414,255,0.007037,1,1,1,1,1,Exploits
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.190429,844,254,31927.91016,9410.331055,255,0.014138,1,1,1,1,1,Reconnaissance
FIN,0.646821,1022,62,11947.66406,129173.2891,255,0.008359,1,1,1,1,1,Exploits
FIN,0.242588,800,62,23743.96094,183685.9219,255,0.014299,1,1,1,1,1,Exploits
FIN,0.180104,1170,254,46772.97656,9949.806641,255,0.006003,1,1,1,1,1,Exploits
FIN,0.196738,912,254,33384.5,9108.560547,255,0.008111,1,1,1,1,1,Exploits
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Exploits
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Exploits
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Reconnaissance
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2, Fuzzers
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Exploits
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Exploits
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2,Reconnaissance
INT,0.518061,1040,254,15256.8916,0.0,0,0.0,2,2,2,2,2, Fuzzers
FIN,0.588697,2050,62,26472.02148,1368541.0,255,0.020632,1,1,1,1,1,Generic
INT,1.2e-05,1324,254,441333312.0,0.0,0,0.0,2,1,1,1,1,Exploits
FIN,0.985601,21158,62,166371.5781,15032.45215,255,0.049046,1,2,2,1,1,Exploits
FIN,0.985601,21158,62,166371.5781,15032.45215,255,0.049046,1,2,2,1,1,Exploits
FIN,0.212959,906,62,30653.78711,105071.8672,255,0.055514,1,1,2,1,1,DoS
FIN,0.200812,1882,254,67486.00781,8923.769531,255,0.039525,1,1,1,1,1,DoS
FIN,0.960592,82366,62,677174.125,16239.98535,255,0.024602,1,2,1,1,1,Exploits
FIN,0.401714,918,62,16768.14844,471439.875,255,0.020464,1,1,1,1,1,Exploits
FIN,0.405357,798,254,14189.96094,6118.063965,255,0.051781,1,1,1,1,1,Reconnaissance
FIN,0.242566,918,62,27769.76172,551833.3125,255,0.008892,1,2,1,1,1,Exploits
FIN,0.217181,944,254,31310.28906,8251.182617,255,0.021758,1,2,1,1,1,Exploits
FIN,0.481904,70349,254,1148394.75,8018.194336,255,0.037877,1,1,1,1,1,Exploits
FIN,0.241318,800,62,23868.91992,298361.5,255,0.02092,1,1,1,1,1,Exploits
FIN,0.234308,364,254,10891.64648,7648.052734,255,0.026579,1,1,1,1,1,Exploits
INT,6e-06,168,254,112000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
INT,1e-05,168,254,67200000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.542439,2832,254,38286.33203,8465.467773,255,0.02225,1,1,1,1,1,Exploits
FIN,0.266142,784,62,21221.75391,42203.03125,255,0.027877,1,1,1,1,1,Exploits
FIN,0.247613,848,62,25135.99805,806516.625,255,0.034156,1,1,1,1,1,Exploits
FIN,1.067048,132632,62,985957.5625,16801.49414,255,0.023431,1,1,1,1,1,Exploits
FIN,0.487234,800,62,11821.83496,17092.4043,255,0.049729,1,1,1,1,1,DoS
FIN,0.241641,1474,254,43932.94141,12746.18164,255,0.015297,1,1,1,1,1,Generic
INT,1.2e-05,1456,254,485333312.0,0.0,0,0.0,2,1,1,1,1,Generic
FIN,0.677349,564,254,5999.861328,3661.332764,255,0.016702,1,1,1,1,1,Reconnaissance
FIN,0.606346,6199,62,78384.28906,23049.54492,255,0.016847,1,1,1,1,1,Exploits
FIN,0.170426,728,254,30793.42383,10514.82813,255,0.013919,1,1,1,1,1,Shellcode
FIN,2.362805,1786,254,5617.052734,758.420654,255,0.01495,1,1,1,1,1,Exploits
FIN,0.916768,1092,62,9057.907227,13429.78809,255,0.020296,1,1,2,1,2,Exploits
FIN,0.916768,1092,62,9057.907227,13429.78809,255,0.020296,1,1,2,1,2,Exploits
FIN,0.368852,364,62,6918.76416,13598.9502,255,0.021336,1,1,2,1,2,Exploits
FIN,0.368852,364,62,6918.76416,13598.9502,255,0.021336,1,1,2,1,2,Exploits
FIN,0.695721,564,254,5841.422363,3564.647461,255,0.038381,1,1,1,1,1,Reconnaissance
FIN,0.213146,808,62,27323.99414,47366.59375,255,0.015504,1,1,1,1,1,Exploits
FIN,1.808178,347446,62,1531769.625,14343.7207,255,0.023161,1,1,1,1,1,Exploits
FIN,1.808178,347446,62,1531769.625,14343.7207,255,0.023161,1,1,1,1,1,Exploits
INT,1e-06,168,254,672000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.183965,984,254,38529.07031,9740.983398,255,0.014683,1,1,1,1,1,Exploits
FIN,1.510987,2566,62,13315.79883,1886274.25,255,0.017461,1,1,1,1,1,Exploits
FIN,0.339326,364,62,7520.791504,14027.80859,255,0.047116,1,1,3,1,2,Exploits
FIN,0.339326,364,62,7520.791504,14027.80859,255,0.047116,1,1,3,1,2,Exploits
INT,5e-06,168,254,134400000.0,0.0,0,0.0,2,1,3,1,1,Reconnaissance
FIN,0.949332,1194,62,9606.754883,13247.20996,255,0.018168,1,1,3,1,2,Exploits
FIN,0.949332,1194,62,9606.754883,13247.20996,255,0.018168,1,1,3,1,2,Exploits
FIN,0.218966,524,254,17244.68555,8183.918457,255,0.018123,1,2,1,1,1,Shellcode
FIN,0.214759,770,62,25814.98242,31551.64453,255,0.025882,1,1,1,1,1,DoS
INT,8e-06,168,254,84000000.0,0.0,0,0.0,2,2,1,1,1,Reconnaissance
INT,9e-06,168,254,74666664.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.406861,364,62,6272.412109,66440.38281,255,0.073393,1,1,1,1,1,Exploits
FIN,0.406861,364,62,6272.412109,66440.38281,255,0.073393,1,1,1,1,1,Exploits
FIN,1.879737,283028,62,1199355.0,12554.94727,255,0.02274,1,1,1,1,1,Exploits
FIN,1.879737,283028,62,1199355.0,12554.94727,255,0.02274,1,1,1,1,1,Exploits
FIN,1.071544,1170,62,8339.368164,11788.5957,255,0.018331,1,1,1,1,1,Exploits
FIN,1.071544,1170,62,8339.368164,11788.5957,255,0.018331,1,1,1,1,1,Exploits
FIN,0.693588,1266,62,14002.54883,744580.3125,255,0.014159,1,1,1,1,1,Exploits
INT,4e-06,168,254,168000000.0,0.0,0,0.0,2,1,1,1,1,Reconnaissance
FIN,0.213909,808,62,27226.53125,45103.29297,255,0.024469,1,1,1,1,1,Exploits
FIN,0.270462,866,254,23485.73828,14966.98242,255,0.008804,1,1,1,1,1,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,DoS
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2, Fuzzers
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Generic
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Exploits
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,DoS
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2, Fuzzers
INT,1.217401,3024,254,19162.13281,0.0,0,0.0,2,2,2,2,2,Generic
FIN,0.228079,784,62,24763.34961,28200.75391,255,0.0141,1,1,1,1,1,DoS
FIN,1.787587,2758,62,12145.98242,1773376.0,255,0.016894,1,1,1,1,1,Exploits
FIN,0.394707,1288,62,23936.74414,681497.9375,255,0.025428,1,1,1,1,1,Generic
FIN,0.200028,1120,254,40314.35547,35555.02344,255,0.017595,1,1,1,1,1,Exploits
FIN,0.22215,816,62,26468.60352,216286.2969,255,0.028037,1,1,1,1,1,Exploits
FIN,0.174708,890,254,36678.34375,10257.11523,255,0.022344,1,1,1,1,1,Exploits
FIN,0.498175,17082,62,265175.9063,26850.00195,255,0.01827,1,1,1,1,1,Exploits
FIN,54.265602,70256,62,10351.01367,2160349.25,255,0.006296,1,1,1,1,1,DoS
FIN,0.713725,564,254,5694.070312,3474.727783,255,0.016063,1,1,1,1,1,Reconnaissance
FIN,0.179087,950,254,38193.72656,10006.30957,255,0.006209,1,2,1,1,1,Reconnaissance
FIN,0.224213,776,62,24940.57031,42602.34766,255,0.006522,1,2,1,1,1,Exploits
FIN,0.656862,564,254,6186.991699,3775.526611,255,0.006748,1,1,1,1,1,Reconnaissance
FIN,0.395642,694,254,12637.6875,6268.292969,255,0.049364,1,11,3,1,3, Fuzzers
FIN,0.388297,630,254,11681.78027,6386.86377,255,0.045963,1,11,3,1,3, Fuzzers
FIN,0.180398,630,254,25144.40234,9933.59082,255,0.006006,1,11,3,1,3, Fuzzers
FIN,0.175691,694,254,28459.05664,10199.72559,255,0.02597,1,11,3,1,2, Fuzzers
FIN,0.165148,1398,254,60987.71875,10850.87305,255,0.014489,1,1,3,1,1,Exploits
FIN,0.432149,522,254,8700.703125,5738.761719,255,0.052041,1,11,3,1,2, Fuzzers
FIN,0.505217,1354,62,20252.68359,29547.69922,255,0.024186,1,1,1,1,1,Generic
FIN,0.163739,522,254,22963.375,10944.24707,255,0.018146,1,11,3,1,3, Fuzzers
